Model: ms_clap
Channel: [<dasp_pytorch.modules.ParametricEQ object at 0x7fcd3dbda040>]
Learning Rate: 0.01
Number of Iterations: 650
Criterion: cosine-sim
Params Initialization Type: random
Starting Params Values: [[ 1.09449     0.34989554  0.7019379   0.84533095 -1.1107187   1.7812073
   0.24798207 -0.54432786  0.06166121  0.03872882  0.41244718 -1.4034048
   0.18157545  2.1697018   0.28576243  0.7921862   2.023251    0.22002941]]
Starting Params Values (post sigmoid): [[0.7492263  0.58659226 0.66861725 0.6995868  0.24773692 0.8558459
  0.5616798  0.36718136 0.5154104  0.509681   0.60167456 0.19727637
  0.54526955 0.8974955  0.5709584  0.68830055 0.88321674 0.5547865 ]]
Custom roll?: None
========================================
Iteration 0: roll_amount: [340709]
Iteration 1: roll_amount: [186664]
Iteration 2: roll_amount: [175066]
Iteration 3: roll_amount: [186353]
Iteration 4: roll_amount: [435160]
Iteration 5: roll_amount: [221793]
Iteration 6: roll_amount: [82945]
Iteration 7: roll_amount: [70989]
Iteration 8: roll_amount: [61962]
Iteration 9: roll_amount: [178262]
Iteration 10: roll_amount: [70144]
Iteration 11: roll_amount: [156258]
Iteration 12: roll_amount: [58531]
Iteration 13: roll_amount: [211458]
Iteration 14: roll_amount: [25945]
Iteration 15: roll_amount: [356910]
Iteration 16: roll_amount: [423727]
Iteration 17: roll_amount: [93629]
Iteration 18: roll_amount: [104704]
Iteration 19: roll_amount: [196697]
Iteration 20: roll_amount: [247384]
Iteration 21: roll_amount: [72125]
Iteration 22: roll_amount: [130804]
Iteration 23: roll_amount: [270780]
Iteration 24: roll_amount: [121455]
Iteration 25: roll_amount: [166685]
Iteration 26: roll_amount: [367232]
Iteration 27: roll_amount: [215898]
Iteration 28: roll_amount: [90460]
Iteration 29: roll_amount: [379585]
Iteration 30: roll_amount: [50094]
Iteration 31: roll_amount: [9227]
Iteration 32: roll_amount: [251316]
Iteration 33: roll_amount: [414841]
Iteration 34: roll_amount: [372923]
Iteration 35: roll_amount: [38927]
Iteration 36: roll_amount: [391205]
Iteration 37: roll_amount: [15415]
Iteration 38: roll_amount: [216932]
Iteration 39: roll_amount: [229442]
Iteration 40: roll_amount: [229340]
Iteration 41: roll_amount: [32727]
Iteration 42: roll_amount: [99037]
Iteration 43: roll_amount: [233347]
Iteration 44: roll_amount: [391835]
Iteration 45: roll_amount: [218699]
Iteration 46: roll_amount: [435964]
Iteration 47: roll_amount: [344143]
Iteration 48: roll_amount: [180962]
Iteration 49: roll_amount: [131700]
Iteration 50: roll_amount: [4321]
Iteration 51: roll_amount: [147559]
Iteration 52: roll_amount: [329429]
Iteration 53: roll_amount: [38564]
Iteration 54: roll_amount: [134184]
Iteration 55: roll_amount: [100066]
Iteration 56: roll_amount: [168498]
Iteration 57: roll_amount: [1501]
Iteration 58: roll_amount: [215601]
Iteration 59: roll_amount: [191462]
Iteration 60: roll_amount: [94593]
Iteration 61: roll_amount: [97984]
Iteration 62: roll_amount: [76395]
Iteration 63: roll_amount: [446796]
Iteration 64: roll_amount: [222531]
Iteration 65: roll_amount: [318734]
Iteration 66: roll_amount: [416776]
Iteration 67: roll_amount: [351375]
Iteration 68: roll_amount: [24632]
Iteration 69: roll_amount: [249255]
Iteration 70: roll_amount: [11746]
Iteration 71: roll_amount: [215762]
Iteration 72: roll_amount: [71727]
Iteration 73: roll_amount: [422420]
Iteration 74: roll_amount: [172615]
Iteration 75: roll_amount: [444089]
Iteration 76: roll_amount: [70123]
Iteration 77: roll_amount: [424222]
Iteration 78: roll_amount: [191591]
Iteration 79: roll_amount: [99603]
