Model: ms_clap
Channel: [<dasp_pytorch.modules.NoiseShapedReverb object at 0x7fb5a1c52040>]
Learning Rate: 0.01
Number of Iterations: 650
Criterion: directional_loss
Params Initialization Type: zeros
Starting Params Values: [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
  0.]]
Starting Params Values (post sigmoid): [[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
  0.5 0.5 0.5 0.5 0.5 0.5 0.5]]
Custom roll?: None
========================================
Iteration 0: roll_amount: [79227]
Iteration 1: roll_amount: [69733]
Iteration 2: roll_amount: [19293]
Iteration 3: roll_amount: [46880]
Iteration 4: roll_amount: [53575]
Iteration 5: roll_amount: [77728]
Iteration 6: roll_amount: [2405]
Iteration 7: roll_amount: [77630]
Iteration 8: roll_amount: [76734]
Iteration 9: roll_amount: [132]
Iteration 10: roll_amount: [47825]
Iteration 11: roll_amount: [78018]
Iteration 12: roll_amount: [27451]
Iteration 13: roll_amount: [24620]
Iteration 14: roll_amount: [19916]
Iteration 15: roll_amount: [53751]
Iteration 16: roll_amount: [27490]
Iteration 17: roll_amount: [42960]
Iteration 18: roll_amount: [30896]
Iteration 19: roll_amount: [60782]
Iteration 20: roll_amount: [36896]
Iteration 21: roll_amount: [72017]
Iteration 22: roll_amount: [936]
Iteration 23: roll_amount: [21837]
Iteration 24: roll_amount: [74106]
Iteration 25: roll_amount: [44670]
Iteration 26: roll_amount: [26184]
Iteration 27: roll_amount: [80706]
Iteration 28: roll_amount: [15274]
Iteration 29: roll_amount: [41422]
Iteration 30: roll_amount: [8137]
Iteration 31: roll_amount: [16878]
Iteration 32: roll_amount: [74615]
Iteration 33: roll_amount: [88356]
Iteration 34: roll_amount: [79904]
Iteration 35: roll_amount: [73689]
Iteration 36: roll_amount: [7010]
Iteration 37: roll_amount: [38197]
Iteration 38: roll_amount: [84306]
Iteration 39: roll_amount: [5332]
Iteration 40: roll_amount: [9975]
Iteration 41: roll_amount: [85749]
Iteration 42: roll_amount: [41306]
Iteration 43: roll_amount: [10606]
Iteration 44: roll_amount: [85734]
Iteration 45: roll_amount: [24640]
Iteration 46: roll_amount: [10154]
Iteration 47: roll_amount: [21625]
Iteration 48: roll_amount: [78482]
Iteration 49: roll_amount: [77691]
Iteration 50: roll_amount: [82152]
Iteration 51: roll_amount: [49133]
Iteration 52: roll_amount: [70561]
Iteration 53: roll_amount: [54303]
Iteration 54: roll_amount: [55371]
Iteration 55: roll_amount: [44300]
Iteration 56: roll_amount: [27933]
Iteration 57: roll_amount: [58113]
Iteration 58: roll_amount: [75345]
Iteration 59: roll_amount: [27946]
Iteration 60: roll_amount: [59740]
Iteration 61: roll_amount: [84721]
Iteration 62: roll_amount: [77046]
Iteration 63: roll_amount: [31638]
Iteration 64: roll_amount: [56474]
Iteration 65: roll_amount: [65139]
Iteration 66: roll_amount: [51624]
Iteration 67: roll_amount: [28266]
Iteration 68: roll_amount: [32428]
Iteration 69: roll_amount: [74640]
Iteration 70: roll_amount: [18881]
Iteration 71: roll_amount: [41877]
Iteration 72: roll_amount: [16417]
Iteration 73: roll_amount: [59614]
Iteration 74: roll_amount: [60247]
Iteration 75: roll_amount: [62139]
Iteration 76: roll_amount: [10548]
Iteration 77: roll_amount: [57344]
Iteration 78: roll_amount: [44408]
Iteration 79: roll_amount: [82619]
Iteration 80: roll_amount: [8898]
Iteration 81: roll_amount: [27843]
Iteration 82: roll_amount: [43372]
Iteration 83: roll_amount: [89031]
Iteration 84: roll_amount: [28020]
Iteration 85: roll_amount: [17209]
Iteration 86: roll_amount: [34897]
Iteration 87: roll_amount: [64897]
Iteration 88: roll_amount: [46990]
Iteration 89: roll_amount: [82248]
Iteration 90: roll_amount: [82380]
Iteration 91: roll_amount: [5110]
Iteration 92: roll_amount: [50544]
Iteration 93: roll_amount: [21574]
Iteration 94: roll_amount: [60666]
Iteration 95: roll_amount: [37054]
Iteration 96: roll_amount: [85514]
Iteration 97: roll_amount: [52]
Iteration 98: roll_amount: [35240]
Iteration 99: roll_amount: [24202]
Iteration 100: roll_amount: [82787]
Iteration 101: roll_amount: [46820]
Iteration 102: roll_amount: [22010]
Iteration 103: roll_amount: [44583]
Iteration 104: roll_amount: [25963]
Iteration 105: roll_amount: [5959]
Iteration 106: roll_amount: [84871]
Iteration 107: roll_amount: [28727]
Iteration 108: roll_amount: [45781]
Iteration 109: roll_amount: [5950]
Iteration 110: roll_amount: [36467]
Iteration 111: roll_amount: [9148]
Iteration 112: roll_amount: [19590]
Iteration 113: roll_amount: [24021]
Iteration 114: roll_amount: [51481]
Iteration 115: roll_amount: [68325]
Iteration 116: roll_amount: [85290]
Iteration 117: roll_amount: [84882]
Iteration 118: roll_amount: [43266]
Iteration 119: roll_amount: [4864]
Iteration 120: roll_amount: [9410]
Iteration 121: roll_amount: [58692]
Iteration 122: roll_amount: [55102]
Iteration 123: roll_amount: [15679]
Iteration 124: roll_amount: [71856]
Iteration 125: roll_amount: [76666]
Iteration 126: roll_amount: [48459]
Iteration 127: roll_amount: [14008]
Iteration 128: roll_amount: [60808]
Iteration 129: roll_amount: [19108]
Iteration 130: roll_amount: [7261]
Iteration 131: roll_amount: [84980]
Iteration 132: roll_amount: [72883]
Iteration 133: roll_amount: [8380]
Iteration 134: roll_amount: [25228]
Iteration 135: roll_amount: [66925]
Iteration 136: roll_amount: [15777]
Iteration 137: roll_amount: [26976]
Iteration 138: roll_amount: [78152]
Iteration 139: roll_amount: [62541]
Iteration 140: roll_amount: [12634]
Iteration 141: roll_amount: [11848]
Iteration 142: roll_amount: [29590]
Iteration 143: roll_amount: [12781]
Iteration 144: roll_amount: [54013]
Iteration 145: roll_amount: [2817]
Iteration 146: roll_amount: [49393]
Iteration 147: roll_amount: [57369]
Iteration 148: roll_amount: [22704]
Iteration 149: roll_amount: [29179]
Iteration 150: roll_amount: [46481]
Iteration 151: roll_amount: [70109]
Iteration 152: roll_amount: [46071]
Iteration 153: roll_amount: [24251]
Iteration 154: roll_amount: [67318]
Iteration 155: roll_amount: [47189]
Iteration 156: roll_amount: [20968]
Iteration 157: roll_amount: [57275]
Iteration 158: roll_amount: [5917]
Iteration 159: roll_amount: [18185]
Iteration 160: roll_amount: [44197]
Iteration 161: roll_amount: [11609]
Iteration 162: roll_amount: [18150]
Iteration 163: roll_amount: [41772]
Iteration 164: roll_amount: [30422]
Iteration 165: roll_amount: [90006]
Iteration 166: roll_amount: [15107]
Iteration 167: roll_amount: [25282]
Iteration 168: roll_amount: [47524]
Iteration 169: roll_amount: [53611]
Iteration 170: roll_amount: [9753]
Iteration 171: roll_amount: [50265]
Iteration 172: roll_amount: [88652]
Iteration 173: roll_amount: [79332]
Iteration 174: roll_amount: [46381]
Iteration 175: roll_amount: [26828]
Iteration 176: roll_amount: [14473]
Iteration 177: roll_amount: [41073]
Iteration 178: roll_amount: [2493]
Iteration 179: roll_amount: [76424]
Iteration 180: roll_amount: [85968]
Iteration 181: roll_amount: [46968]
Iteration 182: roll_amount: [14433]
Iteration 183: roll_amount: [66380]
Iteration 184: roll_amount: [28291]
Iteration 185: roll_amount: [31040]
Iteration 186: roll_amount: [7371]
Iteration 187: roll_amount: [58181]
